iteration,max_reward,mean_reward,min_reward,std_reward,ALGORITHM,SEED,NUM_ENVS,NUM_STEPS,TOTAL_GENERATIONS,POP_SIZE,EVO_STRATEGY,ENV_NAME,GRID_SIZE,N_AGENTS,N_PREY,PREY_VISIBLE_RANGE,PREY_AUDIBLE_RANGE,N_AGENT_SOUNDS,N_PREY_SOUNDS,N_OVERLAPPING_SOUNDS,OBSERVE_OTHER_AGENTS_POS,WANDB_MODE,ENTITY,PROJECT,CHECKPOINT_INTERVAL,KEEP_CHECKPOINTS,experiment_id,overlapping_sounds
1,-4.125000953674316,-4.787109851837158,-5.000000953674316,0.1696297973394394,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
50,-2.875000476837158,-4.233887195587158,-5.000000953674316,0.4143386483192444,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
100,-3.375,-4.315430164337158,-5.000000953674316,0.309542715549469,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
150,-2.000000476837158,-3.613770008087158,-4.750000953674316,0.5462572574615479,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
200,-1.3750003576278689,-3.348633289337158,-4.625000953674316,0.6345275640487671,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
250,-2.250000476837158,-3.652344226837158,-4.625000953674316,0.4453640282154083,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
300,-2.500000476837158,-3.702148914337158,-4.875000953674316,0.5565268397331238,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
350,-2.500000476837158,-3.695801258087158,-4.875000953674316,0.4431053400039673,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
400,-3.125000238418579,-4.208496570587158,-4.875000953674316,0.3129662871360779,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
450,-1.6250003576278689,-3.314941883087158,-4.625000953674316,0.5781199336051941,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
500,-1.5000003576278689,-3.017578601837158,-4.750000953674316,0.6447532176971436,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
550,-1.2500003576278689,-3.506348133087158,-4.750000953674316,0.5353895425796509,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
600,-1.5000003576278689,-3.614258289337158,-4.875000953674316,0.5522122979164124,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
650,-2.375000476837158,-3.845215320587158,-5.000000953674316,0.461696058511734,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
700,-0.7500004172325134,-3.099121570587158,-4.875000953674316,0.695884108543396,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
750,-1.7500003576278689,-3.300293445587158,-4.750000953674316,0.5713047981262207,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
800,-1.3750003576278689,-3.257324695587158,-5.000000953674316,0.6502761244773865,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
850,-0.3750004470348358,-3.014160633087158,-4.375000953674316,0.5855579972267151,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
900,-1.0000005960464478,-3.122070789337158,-4.750000953674316,0.5715344548225403,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
