iteration,max_reward,mean_reward,min_reward,std_reward,ALGORITHM,SEED,NUM_ENVS,NUM_STEPS,TOTAL_GENERATIONS,POP_SIZE,EVO_STRATEGY,ENV_NAME,GRID_SIZE,N_AGENTS,N_PREY,PREY_VISIBLE_RANGE,PREY_AUDIBLE_RANGE,N_AGENT_SOUNDS,N_PREY_SOUNDS,N_OVERLAPPING_SOUNDS,OBSERVE_OTHER_AGENTS_POS,WANDB_MODE,ENTITY,PROJECT,CHECKPOINT_INTERVAL,KEEP_CHECKPOINTS,experiment_id,overlapping_sounds
1,-4.000000953674316,-4.726562976837158,-5.000000953674316,0.1508844345808029,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
50,-2.750000476837158,-4.368164539337158,-5.000000953674316,0.3866387009620666,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
100,-2.500000476837158,-4.132324695587158,-5.000000953674316,0.4420883357524872,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
150,-2.000000476837158,-3.799805164337158,-4.875000953674316,0.543143630027771,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
200,-1.5000004768371582,-3.808105945587158,-5.000000953674316,0.6247893571853638,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
250,-2.625000476837158,-4.079102039337158,-4.875000953674316,0.4505236744880676,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
300,-2.875000476837158,-4.019043445587158,-4.875000953674316,0.4425669610500335,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
350,-2.250000476837158,-3.667480945587158,-4.875000953674316,0.5724721550941467,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
400,-2.375000476837158,-3.723145008087158,-4.875000953674316,0.4859592318534851,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
450,-1.5000005960464478,-3.555176258087158,-4.875000953674316,0.5993325114250183,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
500,-0.8750004172325134,-3.191406726837158,-4.750000953674316,0.7752800583839417,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
550,-1.2500003576278689,-3.206055164337158,-4.625000953674316,0.6194263696670532,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
600,-1.8750003576278689,-3.520020008087158,-4.750000953674316,0.5684599280357361,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
650,-1.1250003576278689,-3.009766101837158,-4.625000953674316,0.6557121276855469,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
700,-1.5000005960464478,-3.197754383087158,-4.625000953674316,0.6068798303604126,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
750,-1.3750005960464478,-3.152344226837158,-4.625000953674316,0.6319801211357117,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
800,-2.125000476837158,-3.386719226837158,-4.750000953674316,0.5001068711280823,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
850,-1.1250003576278689,-3.036133289337158,-4.500000953674316,0.6542291641235352,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
900,0.3749996125698089,-2.272949695587158,-4.125000953674316,0.8254812359809875,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
950,-0.8750004172325134,-3.193848133087158,-4.750000953674316,0.6754692196846008,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
1000,-1.1250003576278689,-3.135742664337158,-4.625000953674316,0.6896323561668396,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
1050,0.7499995827674866,-2.045410633087158,-4.125000953674316,0.851570188999176,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
1100,-3.337860050578456e-07,-2.332520008087158,-4.250000953674316,0.8444526791572571,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
1150,-1.0000003576278689,-2.829102039337158,-4.250000953674316,0.6310974955558777,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
1200,-0.6250004768371582,-2.641602039337158,-4.250000953674316,0.7266669273376465,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
1250,-4.529952946086269e-07,-2.357422351837158,-4.375000953674316,0.7669368386268616,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
1300,-0.1250005066394806,-2.627930164337158,-4.375000953674316,0.7516201734542847,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
1350,0.999999463558197,-1.8754886388778689,-4.625000953674316,0.903247892856598,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
1400,-0.3750004470348358,-2.723145008087158,-4.625000953674316,0.6721104979515076,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
1450,-0.8750004172325134,-2.666016101837158,-4.250000953674316,0.6326889395713806,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
1500,0.4999997317790985,-2.210937976837158,-4.125000953674316,0.8365943431854248,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
1550,0.2499995976686477,-1.973633050918579,-4.375000953674316,0.7972812652587891,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
1600,-0.3750004470348358,-2.523926258087158,-4.125000953674316,0.7057080268859863,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
1650,0.4999996125698089,-2.510742664337158,-4.125000953674316,0.8143799901008606,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
1700,0.749999463558197,-1.9902348518371584,-4.375000953674316,0.8503947854042053,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
1750,-0.375000536441803,-2.609863758087158,-4.500000953674316,0.6627858281135559,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
1800,0.4999995231628418,-2.471680164337158,-4.000000953674316,0.7508483529090881,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
1850,1.1249994039535522,-1.3173832893371582,-3.75,0.9094639420509338,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
1900,0.6249995231628418,-1.7558597326278689,-3.750000715255737,0.8238924741744995,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
1950,0.6249995827674866,-1.896484613418579,-3.875000715255737,0.7968918085098267,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
